Total_WGHT,Program,DelkaTrvani,Nazev_VD
1034.0,1.0,112805,1
3036.0,2.0,116897,1
2904.0,2.0,98143,1
2004.0,2.0,96326,1
3098.0,2.0,104527,1
2019.0,3.0,53331,1
2166.0,3.0,250717,1
2376.0,3.0,35986,1
3032.0,3.0,46924,1
3180.0,3.0,50522,1
3148.0,3.0,41470,1
3136.0,3.0,44342,1
2100.0,3.0,37486,1
2046.0,3.0,512811,1
3244.0,3.0,42894,1
3302.0,3.0,48160,1
3308.0,3.0,45350,1
3016.0,3.0,41914,1
2950.0,3.0,42325,1
2350.0,3.0,40510,1
3090.0,3.0,54760,1
3310.0,3.0,41125,1
3058.0,3.0,50985,1
6000.0,3.0,58756,0
3246.0,3.0,41545,1
2044.0,5.0,62952,1
1018.0,5.0,63292,1
2050.0,5.0,65711,1
3134.0,5.0,58514,1
3172.0,7.0,50536,1
3054.0,7.0,57207,1
3125.0,7.0,58486,1
3276.0,7.0,54927,1
3316.0,7.0,53774,1
6170.0,10.0,106576,0
2654.0,10.0,92779,0
10200.0,10.0,16800,0
8500.0,10.0,133530,0
10200.0,10.0,5841,0
3078.0,10.0,102541,0
9960.0,10.0,109224,0
10200.0,10.0,113643,0
10225.0,10.0,123210,0
7710.0,10.0,109753,0
10200.0,10.0,128083,0
8040.0,10.0,108539,0
10100.0,10.0,117102,0
7896.0,11.0,129971,0
7896.0,11.0,273923,0
6045.0,11.0,101250,0
9210.0,11.0,116041,0
8300.0,11.0,110104,0
7890.0,12.0,163303,0
8100.0,12.0,171739,0
10200.0,13.0,118200,0
10275.0,13.0,148382,0
10200.0,13.0,133965,0
9970.0,13.0,129863,0
9850.0,13.0,120823,0
10150.0,13.0,127765,0
10200.0,13.0,120237,0
10200.0,13.0,129594,0
10200.0,13.0,120899,0
10200.0,13.0,128899,0
8100.0,13.0,116890,0
10200.0,13.0,126232,0
7650.0,13.0,115175,0
3920.0,13.0,98004,0
10200.0,13.0,119464,0
5950.0,13.0,116434,0
10070.0,13.0,124664,0
10200.0,13.0,123238,0
10200.0,13.0,141988,0
10200.0,13.0,123230,0
9810.0,13.0,128038,0
9520.0,13.0,133202,0
10206.0,13.0,118685,0
9690.0,13.0,133436,0
10200.0,13.0,128522,0
10200.0,13.0,124694,0
7650.0,13.0,136226,0
8070.0,13.0,133177,0
10360.0,13.0,148302,0
10360.0,13.0,117460,0
10200.0,13.0,130861,0
10200.0,13.0,130309,0
9950.0,13.0,168098,0
3040.0,14.0,150771,0
9129.0,14.0,180523,0
9030.0,14.0,189376,0
7170.0,15.0,163851,0
9501.0,15.0,184779,0
4555.0,15.0,147990,0
